RT	Mass	Rank	DistFromMS2	noise	SWpval	derivChanges	zeroCounts	maxInt	rtWindow	kurtosis	skew	outsideInt	DistToInflPtL2R	DistToInflPtR2L
1913.58	1922.93	0	20.51082569	0	6.30E-05	8	5	57983.48828	15.95	3.731394896	1.266593413	0	0.466666667	0.2
1916.12	1919.63	0	23.60167559	0	0.266131654	2	3	66693.34375	7.97	1.708591087	0.261851952	0	0.142857143	0.142857143
1916.12	1919.63	0	1.492	0	4.14E-06	2	2	40377.50391	6.82	5.166666667	1.619847741	0	1	1
1922.93	1925.73	0	13.51298017	2	0.000178346	2	2	45247.30078	7.88	2.796476547	1.04448446	9482.610212	0.857142857	0.857142857
1915.91	1918.26	0	28.09786145	3	0.000187875	6	4	61015.34766	12.26	4.35479404	1.370458074	11251.36654	0.25	0.416666667
1929.85	1932.68	0	27.41036765	0	1.92E-05	4	3	33150.76172	9.44	5.46633284	1.674312036	0	0.375	0.375
1921.8	1926.07	0	18.58776628	3	0.001154314	3	2	92374.21875	7.75	2.716174182	0.920623973	15653.70496	0.375	0.375
2007.63	2011.31	0	18.90316843	0	4.14E-06	2	2	21039.10352	7.08	5.166666667	1.619847741	0	1	1
1969.6	1974.17	0	21.91368729	0	4.14E-06	2	2	14472.65527	8.7	5.166666667	1.619847741	0	1	1
1973.22	1978.12	0	26.09	0	4.14E-06	2	2	9162.947266	8.13	5.166666667	1.619847741	0	1	1
2001.73	2005.13	0	21.5473991	0	4.14E-06	2	2	33026.96875	7.76	5.166666667	1.619847741	0	1	1
2026.96	2036.04	0	12.56367211	0	9.06E-06	4	3	23463.06641	13.15	4.994216383	1.608846713	0	0.888888889	0.888888889
2029.63	2038.6	0	12.71436975	0	0.000113142	6	4	22612.70898	16.14	3.311377112	1.229954611	0	0.272727273	0.454545455
2030.3	2035.74	0	0.097921363	1	2.66E-05	4	3	22937.32813	14.28	3.529089152	1.298935989	918.0670898	0.8	0.8
2020.96	2025.26	0	0.47894939	0	4.14E-06	2	2	10612.54102	8.23	5.166666667	1.619847741	0	1	1
2016.86	2025.87	0	0.558410943	1	3.93E-05	4	3	23893.17383	13.66	2.994240685	1.1438321	2323.971094	0.8	0.8
2060.84	2065.9	0	21.93468231	0	4.14E-06	2	2	17245.41406	10.31	5.166666667	1.619847741	0	1	1
2035.37	2039.71	0	7.739461889	0	4.14E-06	2	2	42141.55469	8.36	5.166666667	1.619847741	0	1	1
2177.37	2181.89	0	8.770052022	0	4.14E-06	2	2	19184.67773	8.53	5.166666667	1.619847741	0	1	1
2143.32	2148.59	0	25.65724517	0	4.14E-06	2	2	14838.0918	8.97	5.166666667	1.619847741	0	1	1
2097.93	2103.23	0	21.696889	0	4.14E-06	2	2	8347.298828	10.44	5.166666667	1.619847741	0	1	1
2130.84	2136.57	0	13.23848292	0	4.14E-06	2	2	5703.008789	10.18	5.166666667	1.619847741	0	1	1
2144.63	2150.13	0	11.53507412	0	1.95E-05	4	3	6022.600098	14.13	2.792236026	1.121173011	0	0.375	0.375
2234.79	2243.15	0	19.02820813	2	3.48E-05	4	3	4803.243652	14.56	3.042357334	1.170405117	608.1252747	0.375	0.375
2270.16	2276.65	0	9.85086197	0	4.14E-06	2	2	2118.075928	12.26	5.166666667	1.619847741	0	1	1
2264.4	2270.4	0	13.16111154	1	4.14E-06	2	2	4658.760742	10.46	5.166666667	1.619847741	337.660319	1	1
2254.8	2261.12	0	12.74700084	0	4.14E-06	2	2	6577.394043	12.65	5.166666667	1.619847741	0	1	1
2254.81	2260.4	0	25.96215739	0	0.000195149	2	2	10938.37598	13.47	3.226390297	1.138455189	0	0.857142857	0.857142857
2288.5	2294.51	0	5.878365979	0	4.14E-06	2	2	9988.881836	11.89	5.166666667	1.619847741	0	1	1
2272.33	2278.24	0	20.44685394	0	4.14E-06	2	2	8306.46582	11.92	5.166666667	1.619847741	0	1	1
2261.12	2267.39	0	8.260514354	0	4.14E-06	2	2	5221.165039	12.59	5.166666667	1.619847741	0	1	1
2290.5	2296.28	0	26.23819472	0	4.14E-06	2	2	8734.03418	11.56	5.166666667	1.619847741	0	1	1
2259.19	2271.66	0	3.637366657	0	6.05E-06	4	3	8076.476074	19.04	3.280891352	1.286376844	0	0.888888889	0.888888889
2297.72	2303.43	0	3.173530928	0	4.14E-06	2	2	6562.981445	11.06	5.166666667	1.619847741	0	1	1
2280.39	2286.33	0	16.95329014	0	4.14E-06	2	2	8359.126953	12.03	5.166666667	1.619847741	0	1	1
2355.34	2362.03	0	26.4720703	0	4.14E-06	2	2	6149.394043	12.8	5.166666667	1.619847741	0	1	1
2343.81	2350.44	0	12.17689607	1	4.14E-06	2	2	4424.107422	13.34	5.166666667	1.619847741	1078.462077	1	1
2334.58	2348.35	0	15.42771501	0	4.87E-05	4	3	12975.09082	22.77	3.798745148	1.279958848	0	0.8	0.8
2362.5	2368.93	0	22.41854787	0	4.14E-06	2	2	5011.881836	13.51	5.166666667	1.619847741	0	1	1
2314.45	2319.88	0	18.32070103	0	4.14E-06	2	2	8088.628418	11.12	5.166666667	1.619847741	0	1	1
2318.53	2324.52	0	13.6826998	1	4.14E-06	2	2	8730.993164	12.18	5.166666667	1.619847741	695.984375	1	1
2407.87	2418.94	0	13.43250515	1	4.91E-05	6	4	8848.447266	22.7	2.616056049	1.017801161	410.2036621	0.3	0.3
2387.88	2394.94	0	15.0311682	0	4.14E-06	2	2	5296.076172	14.06	5.166666667	1.619847741	0	1	1
2393.41	2408.76	0	7.716693316	0	2.57E-05	4	3	11296.94336	22.4	2.151055718	0.911944585	0	0.8	0.8
2390.4	2397.21	0	3.989219851	1	4.14E-06	2	2	9337.873047	13.48	5.166666667	1.619847741	959.8742676	1	1
2409.23	2415.17	0	6.892900544	1	4.14E-06	2	2	7289.910156	12.08	5.166666667	1.619847741	980.969401	1	1
2405.63	2418.94	0	1.835368815	1	0.00020015	4	3	8581.901367	20.19	2.091131354	0.832180696	753.3017578	0.333333333	0.333333333
2409.17	2415.95	0	7.45941853	3	4.14E-06	2	2	7524.241211	11.63	5.166666667	1.619847741	1932.114705	1	1
2431.72	2448.52	0	2.793204242	0	0.000236839	6	4	8804.119141	25.85	2.60843517	0.971460602	0	0.25	0.416666667
2418.94	2425.75	0	2.51827738	0	4.14E-06	2	2	5703.602051	13.25	5.166666667	1.619847741	0	1	1
2409.17	2418.28	0	4.95055569	0	0.000602846	4	3	9209.863281	19.19	1.899582041	0.693759812	0	0.3	0.3
2411.06	2418.1	0	1.919117733	0	4.14E-06	2	2	6082.23584	13.54	5.166666667	1.619847741	0	1	1
2401.66	2415.61	0	1.893792489	1	8.41E-06	4	3	5714.413574	20.7	3.473010909	1.321656458	412.9122993	0.888888889	0.888888889
2424.27	2429.49	0	3.677238359	0	4.14E-06	2	2	5782.92334	9.47	5.166666667	1.619847741	0	1	1
2410.19	2417.02	0	5.248018358	0	4.14E-06	2	2	4756.553711	13.54	5.166666667	1.619847741	0	1	1
2427.28	2434.42	0	10.78403759	0	4.14E-06	2	2	1763.30835	14.03	5.166666667	1.619847741	0	1	1
2418.15	2429.96	0	10.29410774	2	4.34E-05	5	3	2810.443848	19.16	3.717992253	1.305566612	504.9104614	0.375	0.375
2453.36	2470.1	0	24.24650418	0	4.86E-05	4	3	1813.721558	24.12	2.714793162	1.039680345	0	0.8	0.8
2438.64	2448.08	0	20.55106232	0	0.074219833	2	2	5444.581055	17.47	3.972910752	0.835974554	0	0.125	0.125
2432.81	2439.9	0	17.59874322	1	4.14E-06	2	2	1475.728149	14.38	5.166666667	1.619847741	217.7111613	1	1
2452.87	2459.86	0	26.70049541	0	4.14E-06	2	2	9296.59082	13.86	5.166666667	1.619847741	0	1	1
2417.02	2423.42	0	11.22546209	0	4.14E-06	2	2	6906.010254	13.23	5.166666667	1.619847741	0	1	1
2413.76	2420.61	0	11.89935424	0	4.14E-06	2	2	5833.480469	12.13	5.166666667	1.619847741	0	1	1
2463.01	2470.1	0	1.778244905	2	0.000156179	6	4	11158.55371	26.43	4.451888842	1.508091237	454.0841175	0.272727273	0.272727273
2437.95	2448.08	0	19.15441566	0	3.13E-05	4	3	5431.913086	17.47	4.780409086	1.525746293	0	0.375	0.375
2530.91	2539.8	0	14.76531484	4	0.000139166	4	3	6792.945313	16.48	1.910663976	0.784311694	1539.210164	0.333333333	0.333333333
2545.1	2550	0	5.757310119	6	0.005230768	6	2	7420.501953	20.27	2.867392117	0.910673928	2495.260669	0.3	0.3
